name;priceDM;sale_price;picture;product_category;sku
Крем Gufolino с пантенолом 50мл;1 145 ₸;969 ₸;https://static.detmir.st/media_out/647/041/5041647/450/0.jpg?1662782566607;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;5041647
Пена для ванн Принцесса Сказочная 250мл;1 039 ₸;929 ₸;https://static.detmir.st/media/5_5GNHjOnnvfhIZh6ELyCXV2X3jcDmSDKhRrT-fdYpw=?preset=webp;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;3147829
Гель для мытья Meine Liebe овощей/фруктов/посуды и игрушек 485 мл NEW;1 419 ₸;1 129 ₸;https://static.detmir.st/media_pim/141/819/1819141/450/0.jpg?1678366708074;Детский мир>Гигиена и уход>Бытовая химия детская;1819141
Помада для губ Лакомка Апельсиновый смузи;639 ₸;639 ₸;https://static.detmir.st/media_out/191/551/2551191/450/0.jpg?1652264487021;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;2551191
Бальзам для мытья посуды BioMio Ромашка и Иланг-иланг 450мл;1 759 ₸;1 229 ₸;https://static.detmir.st/media_pim/399/253/3253399/450/0.jpg?1678366924122;Детский мир>Гигиена и уход>Бытовая химия детская;3253399
Гель Моё солнышко для подмывания младенцев 400 мл;1 690 ₸;1 690 ₸;https://static.detmir.st/media_out/151/068/68151/450/0.jpg?1652261506716;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;68151
Бальзам для губ Enchantimals Виноград;890 ₸;799 ₸;https://static.detmir.st/media_out/532/088/3088532/450/0.jpg?1652264499265;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3088532
Гель-Пена Принцесса Воздушный шоколад 400 мл;1 299 ₸;1 169 ₸;https://static.detmir.st/media_out/551/009/1009551/450/0.jpg?1652264472701;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для купания;1009551
Крем под подгузник Siberica Биберика Мамина забота детский 150мл;3 390 ₸;2 559 ₸;https://static.detmir.st/media_pim/864/960/4960864/450/0.jpg?1677754603691;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4960864
Бальзам для губ Enchantimals Апельсин;890 ₸;799 ₸;https://static.detmir.st/media_out/529/088/3088529/450/0.jpg?1652264499261;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3088529
Гель для стирки Meine Liebe спорт концентрат 800мл;2 599 ₸;2 599 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Бытовая химия детская;3201463
Бальзам для губ Enchantimals Черника;890 ₸;799 ₸;https://static.detmir.st/media_out/530/088/3088530/450/0.jpg?1652264499261;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3088530
